,hotel,clean,comfort,location,services,staff,value,wifi
70,complex-druzhba.uk.html,7.7,8.1,6.9,6.9,7.9,7.1,7.1
71,ramada-encore-kiev.uk.html,9.2,7.8,9.1,9.0,9.3,8.7,8.9
72,amarant-urban.uk.html,8.4,7.3,8.4,7.8,7.3,7.5,
73,comfort.uk.html,8.7,8.9,8.1,8.0,8.7,7.9,7.9
74,heart-kiev-apartments.uk.html,8.7,9.3,8.1,8.1,8.8,8.3,9.0
75,ministerka-lake-house.uk.html,8.8,7.9,8.8,8.7,9.1,8.9,8.2
76,poznyaki.uk.html,9.3,8.8,9.0,8.9,9.1,9.0,8.9
77,delta.uk.html,8.8,7.8,8.1,8.2,8.6,8.3,9.3
78,flatrent-smarthouse.uk.html,8.4,7.4,8.4,8.2,8.4,8.3,8.7
79,mini-otel-na-kondratyuka-kiev.uk.html,8.8,7.6,8.7,8.3,9.0,8.7,8.4
80,hotel-mir-kiev.uk.html,8.3,8.6,7.6,7.5,7.9,8.1,6.0
81,villa-vita.uk.html,9.1,8.6,9.0,8.9,9.1,8.8,8.1
82,the-key.uk.html,8.9,9.2,8.9,8.6,8.6,8.8,
83,krakow.uk.html,7.8,7.8,7.2,7.5,7.9,7.7,7.9
84,golosievo.uk.html,9.5,9.2,9.3,9.2,9.3,8.6,9.1
85,dnd-n-ndod3-4ndud-n.uk.html,7.8,8.5,6.9,7.2,8.0,7.4,7.7
86,rozvazhalny-complex-galera.uk.html,8.5,8.1,8.3,8.3,8.6,8.0,8.7
87,opera.uk.html,9.4,8.8,9.2,9.0,9.5,8.4,8.9
88,complex-pans-ka-vtiha.uk.html,9.1,9.1,8.9,8.7,9.0,8.5,8.8
89,room-near-the-independence-square.uk.html,6.0,9.0,5.2,5.8,7.1,6.3,8.6
90,bursa-kyiv.uk.html,9.6,9.3,9.3,9.2,9.6,8.6,8.9
91,oberig.uk.html,9.1,8.5,8.7,8.6,9.1,8.4,8.1
92,city-holiday-resort-amp-spa.uk.html,9.3,7.1,9.0,8.8,8.8,8.3,8.8
93,grand-apartments.uk.html,9.3,9.6,9.1,9.0,9.0,9.1,9.2
94,westend-kiev.uk.html,9.0,8.7,8.3,8.2,9.1,8.5,7.9
95,hostel-non-stop.uk.html,8.2,8.9,7.4,7.5,7.9,8.2,8.0
96,city.uk.html,9.5,9.3,9.4,9.1,9.2,8.6,9.2
97,deluxe.uk.html,6.2,8.4,5.8,5.8,7.1,6.1,7.1
98,dnipro.uk.html,7.0,9.2,6.5,6.4,7.1,6.6,6.9
99,mini-on-kiev-downtown.uk.html,8.4,9.5,7.8,7.7,8.7,8.1,8.8
100,dizain-otel-road.uk.html,9.6,7.8,9.3,9.1,8.8,9.2,8.6
101,skyhome-na-nauky.uk.html,9.0,7.6,8.3,8.2,8.9,8.4,8.6
102,mini-otel-na-zhitomirskoi.uk.html,8.8,8.5,8.2,8.2,8.6,8.9,7.2
103,favor-sport-otel.uk.html,9.5,8.3,9.3,9.1,9.4,9.1,8.6
104,mini-ghotiel-na-diemiyivs-kii.uk.html,8.7,8.4,8.1,7.9,8.3,7.9,7.8
105,radisson-blu-kyiv-podil.uk.html,8.8,9.0,8.8,8.3,8.6,7.5,8.1
106,smart-apartment-kiev1.uk.html,9.1,8.3,8.5,8.4,8.9,8.5,9.3
107,natsionalny-hotel-kiev.uk.html,8.9,8.8,8.5,8.0,7.8,8.2,8.1
108,staro-hotel.uk.html,9.3,8.7,9.0,8.9,9.0,8.6,8.4
109,park-gotiel.uk.html,7.6,8.0,7.6,7.6,8.6,8.0,7.2
110,guest-residence.uk.html,8.8,8.4,8.0,7.8,8.1,7.7,8.7
111,new-quiet-place-in-kiev.uk.html,8.8,8.1,8.6,8.8,8.9,8.9,
112,royal-house-kyiv.uk.html,9.2,8.2,8.6,8.7,8.6,8.6,7.9
